OBJECTNUMMER;FUNCTIE2_OMS;ZAAKNAAM;FUNCTIE2_ENG;FUNCTIE1_ID;FUNCTIE1_OMS;FUNCTIE1_ENG;FUNCTIE2_ID;LAAG;ADRESSEN_LIJST;ADRESSEN_VOT;ADRESSEN_AANTAL;OPPERVLAKTE_SOM;OPPERVLAKTE_NUL;CHECKDATUM;ZAAK_ID;COORDS;LNG;LAT;
20756;"Kinderopvang (zelfstandig)";"DE BLIJE BIJ";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Burgemeester Röellstraat 25 - 389 m2<br>";"03630013481339";1;389;0;"2017-09-29";10853;"POLYGON((4.8336430 52.3730290,4.8336110 52.3730340,4.8336460 52.3731170,4.8338890 52.3730780,4.8338550 52.3729950,4.8338330 52.3729430,4.8336210 52.3729760,4.8336430 52.3730290))";"4,833749";"52,373029";
20757;"Bedrijf - Bedrijfsverzamelgebouw";"AZRA";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tobias M.C. Asserstraat 24 - 88 m2<br>";"03630000828675";1;88;0;"2017-10-14";11081;"POLYGON((4.814659 52.382033,4.814666 52.382035,4.814666 52.382033,4.814839 52.382035,4.814838 52.382038,4.814843 52.382038,4.814845 52.381978,4.814661 52.381975,4.814659 52.382033))";"4,814756";"52,3819985";
20758;"Hogeschool - Universiteit";"MEDIA COLLEGE";"University";"O";"Onderwijs";"Education";"O04";1;"Condensatorweg 36A - 1000 m2<br>Condensatorweg 36 - 3249 m2<br>";"03630021644793-03630021644795";2;4249;0;"2017-08-12";11909;"POLYGON((4.851088 52.390117,4.852053 52.390131,4.852062 52.389928,4.852072 52.389703,4.851484 52.389693,4.851484 52.389702,4.851416 52.389701,4.851416 52.389692,4.850898 52.389683,4.850879 52.390109,4.851088 52.390113,4.851088 52.390117))";"4,8514795";"52,389899";
20760;"Kantoor met publieksfunctie - Stadsloket - Bezoekerscentrum";"TICKEL JONGERENWERK";"Office with public function - City desk -  Visitor center";"K";"Kantoren";"Offices";"K02";1;"Johan Jongkindstraat 147 - 69 m2<br>";"03630000692974";1;69;0;"2017-09-05";14205;"POLYGON((4.835831 52.35917,4.835831 52.359196,4.836036 52.359198,4.836038 52.359136,4.835832 52.359133,4.835831 52.35917))";"4,8359385";"52,3591585";
20761;"Ontmoetings- en activiteitencentrum";"STICHTING OCCHAPEL";"Meeting- and activity center";"A";"Activiteiten en Ontmoeting";"Activities and Meeting";"A02";1;"Nicolaas Japiksestraat 8 - 239 m2<br>";"03630000750569";1;239;0;"2017-08-20";14290;"POLYGON((4.828641 52.362496,4.828638 52.362595,4.828997 52.362599,4.829 52.3625,4.828641 52.362496))";"4,828823";"52,3625425";
20762;"Gezondheidspraktijk";"SNO";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Johan Huizingalaan 78 - 113 m2<br>Ubbo Emmiushof 14 - 0 m2<br>";"03630000692170-03630001003660";2;113;1;"2017-10-06";14304;"MULTIPOLYGON(((4.8266920 52.3633230,4.8267170 52.3633290,4.8266880 52.3633772,4.8266890 52.3633930,4.8265440 52.3633910,4.8264850 52.3633910,4.8264853 52.3633208,4.8265460 52.3633220)),((4.8267810 52.3633430,4.8267537 52.3633908,4.8267233 52.3633846,4.8267523 52.3633366)))";"4,826632";"52,3633545";
20763;"Voortgezet onderwijs";"COMENIUS LYCEUM";"Secondary education";"O";"Onderwijs";"Education";"O03";1;"Jacob Geelstraat 40 - 92 m2<br>";"03630000679349";1;92;0;"2017-08-20";14351;"POLYGON((4.830891 52.361186,4.83105 52.361187,4.831053 52.3611,4.830893 52.361098,4.830892 52.361143,4.830879 52.361143,4.830878 52.361175,4.830891 52.361175,4.830891 52.361186))";"4,8309695";"52,3611345";
20764;"Gezondheidspraktijk";"OUDER KIND CENTRUM";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Magalhaensplein 2 - 822 m2<br>";"03630000732894";1;822;0;"2017-03-17";17280;"POLYGON((4.854514 52.367967,4.854559 52.36787,4.854506 52.367861,4.854512 52.36785,4.854392 52.367829,4.854398 52.367815,4.854406 52.367817,4.854415 52.367799,4.854487 52.367811,4.854499 52.367785,4.854511 52.367757,4.854439 52.367745,4.854448 52.367727,4.85444 52.367726,4.854446 52.367712,4.854496 52.367604,4.854308 52.367572,4.854276 52.36764,4.854286 52.367641,4.854206 52.367814,4.854195 52.367839,4.854186 52.367837,4.854154 52.367905,4.854514 52.367967))";"4,8543605";"52,3677625";
20765;"Kinderopvang (zelfstandig)";"DE STER";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Maarsenhof 87 - 195 m2<br>";"03630000895155";1;195;0;"2018-02-05";23790;"POLYGON((4.96126 52.302292,4.961412 52.302344,4.961401 52.302356,4.961418 52.302362,4.961429 52.30235,4.961448 52.302356,4.96147 52.302333,4.961511 52.302347,4.961562 52.302291,4.961491 52.302267,4.9615 52.302257,4.961506 52.302259,4.961545 52.302216,4.961467 52.302189,4.961446 52.302212,4.9614 52.302197,4.961422 52.302174,4.961307 52.302134,4.961207 52.302243,4.961302 52.302276,4.961285 52.302295,4.961264 52.302288,4.96126 52.302292))";"4,9613885";"52,3022415";
20766;"Kinderopvang (zelfstandig)";"BSO DE BLOKKENHUT";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Florijn 46 - 250 m2<br>";"03630001008427";1;250;0;"2018-02-26";24400;"POLYGON((4.955665 52.320747,4.955563 52.320712,4.95549 52.320792,4.95564 52.320843,4.955713 52.320763,4.955665 52.320747))";"4,9556055";"52,320769";
20767;"Gezondheidspraktijk";"HUISARTSENPRAKTIJK ZAHAWI";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Krimpertplein 32 - 252 m2<br>";"03630000919244";1;252;0;"2018-02-10";24469;"POLYGON((4.968573 52.316535,4.968556 52.316527,4.968535 52.316548,4.968514 52.316541,4.968516 52.316539,4.968329 52.316475,4.968282 52.316526,4.968398 52.316566,4.96839 52.316576,4.968455 52.316598,4.968447 52.316607,4.968649 52.316677,4.968761 52.316599,4.968573 52.316535))";"4,9685255";"52,316567";
20768;"Winkel overig";"EASYBUY";"Shop other";"D";"Detailhandel";"Retail";"D12";1;"Delflandplein 2 - 140 m2<br>";"03630000620436";1;140;0;"2017-10-14";25876;"POLYGON((4.8412 52.349808,4.841197 52.34991,4.841196 52.349977,4.84131 52.349977,4.841313 52.349809,4.8412 52.349808))";"4,8412585";"52,349885";
